type,name,label:english,label:luganda,hint:english,hint:luganda,calculation,repeat_count,appearance,constraint,constraint message,relevance,required,choice_filter,required message,read only,media:image,media:audio,media:video,default,disabled,note,response_note,publishable
select_one q5_5,hardwork_q5_5,"5.5) Compared to your parents do you think people of your age are more hard-working, about the same, or less hard-working?","5.5) Ngogerageranya ku bazaddebo, olowooza abantu abali mu myaka gyo bakozi okusingawo, bebamu oba sibakozi okusingawo?",,,,,,,,${randomdraw1} <= 0.33333,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q5_5,hardwork_q5_6,"5.6) When your children are at the age you are now, do you think they will be more hard-working, about the same, or less hard-working than people your age are now? ","5.6) Abaana bo bwebanaaba ku myaka mwoli kati, olowooza banaaba bakozi okusingawo, bebamu, oba tebajja kuba bakozi kusingawo ku bantu bemyaka gyo kati?","ENUMERATOR: If you do not have children, think of your youngest nieces, nephews or cousins.","ENUMERATOR: If you do not have children, think of your youngest nieces, nephews or cousins.",,,,,,${randomdraw1} <= 0.33333,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q5_7,religious_q5_7,"5.5) Compared to your parents, do you think people of your age are more religious, about the same or less religious?","5.5) Ngogeregeranya ku bazadde bo, olowooza abantu abali mu myaka gyolimu balina eddiini okusingawo, bebamu, oba tebalina ddiini kusingawo?",,,,,,,,${randomdraw1} > 0.33333 and ${randomdraw1} <= 0.66666,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q5_7,religious_q5_8,"5.6) When your children are at the age you are now, do you think they will be more religious, about the same, or less religious than people your age are now? ","5.6) Abaana bo bwebanaaba ku myaka mwoli kati, olowooza banaaba nediini okusingawo, bebamu, oba tebajjakuba nadinii kusingako ku bantu bemyaka gyo kati?","ENUMERATOR: If you do not have children, think of your youngest nieces, nephews or cousins.","ENUMERATOR: If you do not have children, think of your youngest nieces, nephews or cousins.",,,,,,${randomdraw1} > 0.33333 and ${randomdraw1} <= 0.66666,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q5_9,willing_q5_9,"5.5) Compared to your parents, do you think people of your age are more willing to help each other, about the same, or less willing to help each other?","5.5) Ngogeregeranya ku bazaddebo, olowooza abantu abali mu myaka gyolimu basingako mukuba abetegefu okuyamba, bebamu, oba sibetegefu okuyamba abalala?",,,,,,,,${randomdraw1} > 0.66666,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q5_9,willing_q5_10,"5.6) When your children are at the age you are now, do you think they will be more willing to help each other, about the same,  or less willing to help each other than people your age are now? ","5.6) Abaanabo bwebanaaba ku myaka mwoli kati, olowooza banaaba betegefu okuyamba abalala, bebamu, oba bajja kuba betegefu kitono okuyamba abalala okusinga ku bantu abemyaka gyo?","ENUMERATOR: If you do not have children, think of your youngest nieces, nephews or cousins.","ENUMERATOR: If you do not have children, think of your youngest nieces, nephews or cousins.",,,,,,${randomdraw1} > 0.66666,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_5,,,,,,,,,,,,,,,,,,,,,,
begin group,section_6,,,,,,,,,,,,,,,,,,,,,,
calculate,time_6,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
select_one q6_2,new_ideas_q6_2a_c1,"6.1) Now I will give you a pair of statements. Please tell me with which of the statements you agree more, even if you do not agree with either one completely.                            
Statement 1: It is best to do things as they have always been done.
Statement 2: It is important to try out new ways of doing things even if these might not always work.","6.1) Kati ngenda kukuwa stetimenti bbiri bbiri. Nsaba stetimenti josinga okukiriziganya nayo, nebwoba nga tokiriziganya wadde neemu.                                                                    
Statement 1: Kisingira ddala okukola ebintu nga bwebikolebwanga bulijjo.
Statement 2: Kyamugaso okugezaako okukola ebintu mu'ngeri empya wadde nga zino ziyinza obutakola buli kiseera.
",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_multiple q6_3,goals_q6_2,"6.2) Here is a set of cards, which show different goals. Please choose the three that are the most important to you.",6.2) Wano waliwo bukaadi obulala obulaga ebirubirirwa ebyenjawulo. Nsaba olondeko bisatu ebisinga obukulu kugwe .,ENUMERATOR: Show the cards to the respondent and make him/her select. Give him/her enough time.,ENUMERATOR: Show the cards to the respondent and make him/her select. Give him/her enough time.,,,,"count-selected(.) =3 or selected(${goals_q6_2}, '999') or selected(${goals_q6_2}, '888')",You have to indicate three choices.,,yes,,"Sorry, this response is required.",,,,,,,,,
note,q6_2err,"ENUMERATOR: Sorry you can not select "Don’t know" or "Refuse to answer" and anything else.""NUMERATOR: Sorry you can not select "Don’t know" or ""UMERATOR: Sorry","ENUMERATOR: Sorry you can not select "Don’t know" or "Refuse to answer" and anything else.""NUMERATOR: Sorry you can not select "Don’t know" or ""UMERATOR: Sorry",ENUMERATOR: Go back and change your selection.,ENUMERATOR: Go back and change your selection.,,,,,,"(selected(${goals_q6_2}, '999') or selected(${goals_q6_2}, '888')) and count-selected(${goals_q6_2}) >1",yes,,,,,,,,,,,
end group,section_6,,,,,,,,,,,,,,,,,,,,,,
begin group,section_7,,,,,,,,,,,,,,,,,,,,,,
calculate_here,time_7,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
begin group,gr7_1,,,,,,,field-list,,,,,,,,,,,,,,,
note,note7_1,Do you agree or disagree with the following statements? There is no right or wrong answer. We are simply interested in your views on this issue.,"Okiriziganya oba tokiriziganya na sitatimenti zino wamanga? Byodamu tewali kitufu oba kikyamu, twagala bwagazi kufuuna ndowozayo ku'nsonga eno.",,,,,,,,,,,,,,,,,,,,
select_one agree,achiever_q7_1,7.1) It is much better if the man is the achiever outside the home and the woman takes care of the home and family,"7.1) Kisingako nga omusajja yatetenkanyiza amaka wabweru wago, ate nga omukyala yalabilira awaka nab’awaka.",Do you agree or disagree with this statement?,Okiriziganya oba tokiriziganya na sitatimenti zino wamanga?,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr7_1,,,,,,,,,,,,,,,,,,,,,,
select_one agree,kneel_q7_3,7.2) A woman should not have to kneel when she greets a man,7.2) Omukazi talina kufukamira ng'abuuza omusajja,Do you agree or disagree with this statement?,Okiriziganya oba tokiriziganya na sitatimenti zino wamanga?,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one agree,woman_earns_q7_3,"7.3) If a woman earns more money than her husband, it's almost certain to cause problems","7.3) Omukyala bwafuna sente enyinji okusinga omwami we, kimanyidwa nti kileta obuzibu",Do you agree or disagree with this statement?,Okiriziganya oba tokiriziganya na sitatimenti zino wamanga?,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one agree,women_leaders_q7_5,"7.4) In general, women make better village leaders than men do",7.4) Mukutwaliza awamu abakyaala baba bakulembeze balunji kukyalo okusinga abasajja,Do you agree or disagree with this statement?,Okiriziganya oba tokiriziganya na sitatimenti zino wamanga?,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_7,,,,,,,,,,,,,,,,,,,,,,
begin group,section_8,,,,,,,,,,,,,,,,,,,,,,
calculate_here,time_8,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
note,note8,"In the next section, I will ask you more questions about your personal views on different issues. There is no right or wrong answer to these questions – We are simply interested in your opinion. Anything you say will be kept strictly confidential.","Mukitundu kino ekidako ngenda kwongera okubuza ebibuzo kundowoza yo nga'omuntu kunsonga ezenjawulo, byodamu tewali kitufu oba kikyamu ku bibuuzo binno.Twagala bwagazi kumanya ndowoza yo. Byona byoddamu bigya kukumibwa nga byakyama.",,,,,,,,,,,,,,,,,,,,
note,note_sec8,ENUMERATOR: Beginning of the recording,ENUMERATOR: Beginning of the recording,,,,,,,,${audio_consent}=1,,,,,,,,,,,,
audio audit,audio_sec8,Audio_section8,Audio_section8,,,,,p=100; s=note8_1; d=note8_1f,,,${audio_consent}=1,,,,,,,,,,,,
note,note8_1,8.1) Suppose you visit your cousin and she tells you that her husband beat her severely and asks you for help. Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,"8.1) Fumitiriza okyalidde owoluganda nakugamba nti bbawe yamukuba bubi nnyo, nakusaba obuyambi. Fumitiriza nti waliwo engeri bbiri zokka zosobola okutwala. Bambi tubulire eliwa jewandilozeeko?",,,,,,,,,,,,,,,,,,,,
calculate,randomdraw2,,,,,once(random()),,,,,,,,,,,,,,,,,
begin group,gr8.1version1,,,,,,,,,,${randomdraw2} <= 0.25,,,,,,,,,,,,
select_one q8_1a_vers1,action_q8_1a_1,"8.1a) Which action would you prefer to take? [READ OUT]
",8.1a) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_vers1,action_q8_1b_1,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_2_vers1,action_q8_1b_2_1,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1c_vers1,action_q8_1c_1,"8.1c) Which action would you prefer to take? [READ OUT]
",8.1c) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_vers1,action_q8_1d_1,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 3,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_2_vers1,action_q8_1d_2_1,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=3,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr8.1version1,,,,,,,,,,,,,,,,,,,,,,
begin group,gr8.1version2,,,,,,,,,,${randomdraw2} > 0.25 and ${randomdraw2} <= 0.50,,,,,,,,,,,,
select_one q8_1a_vers2,action_q8_1a_2,"8.1a) Which action would you prefer to take? [READ OUT]
",8.1a) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_vers2,action_q8_1b_2,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_2_vers2,action_q8_1b_2_2,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1c_vers2,action_q8_1c_2,"8.1c) Which action would you prefer to take? [READ OUT]
",8.1c) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_vers2,action_q8_1d_2,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 3,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_2_vers2,action_q8_1d_2_2,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=3,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr8.1version2,,,,,,,,,,,,,,,,,,,,,,
begin group,gr8.1version3,,,,,,,,,,${randomdraw2} > 0.50 and ${randomdraw2} <= 0.75,,,,,,,,,,,,
select_one q8_1a_vers3,action_q8_1a_3,"8.1a) Which action would you prefer to take? [READ OUT]
",8.1a) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_vers3,action_q8_1b_3,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_2_vers3,action_q8_1b_2_3,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1c_vers3,action_q8_1c_3,"8.1c) Which action would you prefer to take? [READ OUT]
",8.1c) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_vers3,action_q8_1d_3,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 3,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_2_vers3,action_q8_1d_2_3,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=3,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr8.1version3,,,,,,,,,,,,,,,,,,,,,,
begin group,gr8.1version4,,,,,,,,,,${randomdraw2} > 0.75,,,,,,,,,,,,
select_one q8_1a_vers4,action_q8_1a_4,"8.1a) Which action would you prefer to take? [READ OUT]
",8.1a) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_vers4,action_q8_1b_4,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_2_vers4,action_q8_1b_2_4,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1c_vers4,action_q8_1c_4,"8.1c) Which action would you prefer to take? [READ OUT]
",8.1c) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_vers4,action_q8_1d_4,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 3,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_2_vers4,action_q8_1d_2_4,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=3,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr8.1version4,,,,,,,,,,,,,,,,,,,,,,
begin group,gr8_2,,,,,,,field-list,,,,,,,,,,,,,,,
note,note8_2,"8.2) In your opinion, does a man have a good reason to hit his wife if…?","8.2) Mundowozayo, omusajja alina ensonga enambulukufu okuba omukyala we singa….?",,,,,,,,,,,,,,,,,,,,
select_one yesno,disobeys_q8_1a,a) she disobeys him,a) amujemera,"In your opinion, does a man have good reason to hit his wife if...?","Mundowozayo, omusajja alina ensonga enambulukufu okuba omukyala we singa….?",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr8_2,,,,,,,,,,,,,,,,,,,,,,
select_one q8_1a2,disobeys_yes,8.2a_2) Should she be slapped or should more force be used than that?  ,8.2a_2) Aba alina okumukuba oluyi oba okumukubisa amanyi agasingako? ,,,,,,,,${disobeys_q8_1a}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,disobeys_no,8.2a_2) What if she persists in disobeying the husband?  Does he then have good reason to hit her?,"8.2a_2) Atte bwasigala ajemera baawe enfunda eziwera,awo omusajja aba alina esonga enambulukufu okumukuba?",,,,,,,,${disobeys_q8_1a}=2,yes,,"Sorry, this response is required.",,,,,,,,,
calculate,randomdraw3,,,,,once(random()),,,,,,,,,,,,,,,,,
select_one yesno,chat_q8_1b,b) she spends a lot of time chatting with friends in the market,b) amala ebudde bungi ngawayamu ne mikwano mukatale,"In your opinion, does a man have good reason to hit his wife if...?","Mundowozayo, omusajja alina ensonga enambulukufu okuba omukyala we singa….?",,,,,,${randomdraw3} <= 0.33333,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,fin_pressure_q8_1c,b) he is under immense financial pressure and becomes angry when she asks for money to buy food for the family,b) ali mukunyigirizibwa kwebyenfuna era anyiiga bwamusaba ssente z'okugula emmere yawaka,"In your opinion, does a man have good reason to hit his wife if...?","Mundowozayo, omusajja alina ensonga enambulukufu okuba omukyala we singa….?",,,,,,${randomdraw3} > 0.33333 and ${randomdraw3} <= 0.66666,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,no_housework_q8_1e,b) she does not complete her household work to his satisfaction,b) tamaliriza mirimu gye egya’waka mu ngeri ematiza bbawe,"In your opinion, does a man have good reason to hit his wife if...?","Mundowozayo, omusajja alina ensonga enambulukufu okuba omukyala we singa….?",,,,,,${randomdraw3} >  0.66666,yes,,"Sorry, this response is required.",,,,,,,,,
begin group,gr8_3,,,,,,,field-list,,,,,,,,,,,,,,,
note,note8_3,"Now, let’s talk not about your opinion but about the opinion of the people who live nearby. ",Kati katwogere si kundowooza yo naye kundowooza yabantu ababera okumpi.,,,,,,,,,,,,,,,,,,,,
select_one yesno,disobeys_community_q8_2,"8.3) In some of the villages we have visited, people think that a man has good reason to hit his wife if she disobeys him, while people in other communities do not think this is a good reason to hit one’s wife. In your community, do people think a man has a good reason to hit his wife if she disobeys him?","8.3) Mubyalo ebimu byetukyalide, abantu balowooza nti omusajja alina ensonga enambulukufu okukuba omukyala singa amujemera, wabulaabantu mubitundu ebilara balowoza nti eno ensoga tekubya mukyala. Mukitundu kyo, abantu balowoza ntino omusajja alina ensonga enambulukufu ekubya omukyala bwa’mujemera?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr8_3,,,,,,,,,,,,,,,,,,,,,,
select_one yesno,housework_comm_q8_4,"8.4) Thinking of the opinions held by people in your community, do most people think that a man has a good reason to hit his wife if she does not complete her household work to his satisfaction? ","8.4) Ngolowooza ku ndowooza za bantu mu kitundu kyo, abantu abasinga balowooza nti omusajja alina ensonga okukuba mukaziwe bwaba tamalirizza mirimo gye egyawaka okumatiza omwami?",,,,,,,,${randomdraw3} >  0.66666,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,chat_community_q8_5,"8.4) Again, let’s talk about the opinion of other people in your community. In your community, do most people think a man has a good reason to hit his wife if she spends a lot of time chatting with friends in the market?","8.4) Neera, katwoogere ku ndowooza y'abantu b'omukitundu kyo. Mukitundu kyo, abantu abasinga balowooza nti omusajja alina ensonga ennungi okukuba mukazi we singa omukazi aba amala obudde ngawayamu ne mikwano mukatale?",,,,,,,,${randomdraw3} <= 0.33333,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,fin_press_comm_q8_6,8.4) Do most people in your community think that a man has a good reason to hit his wife if he is under immense financial pressure and becomes angry when she asks for money to buy food?  ,"8.4) Ngolowooza ku ndowooza zabantu mu kitindu kyo, abantu abasinga mu kitundu ky balowooza omusajja alina ensonga ennungi okukuba mukaziwe bwaba nga ali mukunyigirizibwa kwebyenfuna nanyiiga nga bamusabye sente zokugula emmere y'owaka?",,,,,,,,${randomdraw3} > 0.33333 and ${randomdraw3} <= 0.66666,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_8,react_q8_7,"8.5) If people in your community were to find out that a man was beating his wife or girlfriend, how would most of them react? [READ OUT] ","8.5) Singa abantu mukitundu kyo bakizuula nti omusajja akuba mukyaalawe, oba muganziwe empi, abasinga bandikozeewo ki? [READ OUT]",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_9,intervene_q8_9,"8.6) Suppose a man beats his wife almost every evening. In your view, should other people intervene or should they wait for the situation to improve on its own?","8.6) Fumitiriza omusajja akuba mukaziwe kumpi buli lwaggulo. Mu ndabayo, abantu abalala balina okuyingiramu oba balina kufa ku bibakwatako?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
note,note8_1f,ENUMERATOR: End of the recording,ENUMERATOR: End of the recording,,,,,,,,${audio_consent}=1,,,,,,,,,,,,
end group,section_8,,,,,,,,,,,,,,,,,,,,,,
begin group,section_9,,,,,,,,,,,,,,,,,,,,,,
calculate_here,time_9,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
begin group,gr9_1,,,,,,,field-list,,,,,,,,,,,,,,,
note,note9_1,"9.1) Let’s talk for a moment about the kind of society we would like to have in this country. People have very different views on this matter. Which of the following statements is closest to your view? You don’t necessarily have to agree with the statement, we are interested in which view comes closest to your own.","9.1) Katwogereko katono ku kika kya’bantu betwandyagadde okubeera nabo mu gwanga lino. Abantu balina endowooza zanjawulo kunsonga eno.
Statimenti ki kuzino wamanga eyefananyiliza endowooza yo? Tekitegeza nti olina okukilizaganya ne sitetimenti, twagala kumanya nsoga ki esinga okuba okumpi nendoowoza yo?
",,,,,,,,,,,,,,,,,,,,
calculate,randomdraw4,,,,,once(random()),,,,,,,,,,,,,,,,,
select_one q9_1,citizens_q9_1a_1,"a) Statement 1: Citizens should be more active in questioning the actions of leaders.                                                                                                                                                                     Statement 2: In our country, citizens should show more respect for authority.","a) Statement 1: Abatuuze balina okujumbira enyo mukubuza kubikolwa byabakulembeze.                                                                                                                                                                                                                                                                                                                                                                           Statement 2: Mu gwanga lyaffe, abatuuze balina okulaga ekitibwa eri ab’obuyinza.",Which of the following statements is closest to your view? ,Statimenti ki kuzino wamanga eyefananyiliza endowooza yo?,,,,,,${randomdraw4} <= 0.5,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q9_1,citizens_q9_1a_2,"a) Statement 1: In our country, citizens should show more respect for authority.                                                                                                                                                                    Statement 2: Citizens should be more active in questioning the actions of leaders. ","a) Statement 1: Mu gwanga lyaffe, abatuuze balina okulaga ekitibwa eri ab’obuyinza.                                                                                                                                                                                                                                                                                                                                                                           Statement 2: Abatuuze balina okujumbira enyo mukubuza kubikolwa byabakulembeze. ",Which of the following statements is closest to your view? ,Statimenti ki kuzino wamanga eyefananyiliza endowooza yo?,,,,,,${randomdraw4} > 0.5,yes,,"Sorry, this response is required.",,,,,,,,,
end group,q9_1,,,,,,,,,,,,,,,,,,,,,,
calculate,randomdraw5,,,,,once(random()),,,,,,,,,,,,,,,,,
select_one q9_1,government_q9_1b_1,"b) Statement 1: Government is responsible for the well-being of all its citizens and has an obligation to take care of them.
Statement 2: People are responsible for their own well-being and have an obligation to take care of themselves.","b) Statement 1: Gavumenti erina obuvunanyizibwa ku,kubeera obulungi okw'abatuuze  era kijjikakatako okubalabila.
Statement 2: Abaantu balina obuvunanyizibwa kukuberawo  kwabwe obulunji era kibakakatako okwerabirira.",Which of the following statements is closest to your view? ,Statimenti ki kuzino wamanga eyefananyiliza endowooza yo?,,,,,,${randomdraw5} <= 0.5,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q9_1,government_q9_1b_2,"b) Statement 1: People are responsible for their own well-being and have an obligation to take care of themselves. 
Statement 2: Government is responsible for the well-being of all its citizens and has an obligation to take care of them.","b) Statement 1: Abaantu balina obuvunanyizibwa kukubera kwabwe obulunji era kibakakatako okwerabirira. 
Statement 2: Govumenti erina obuvunanyizibwa ku mbeera enunji eya batuuze era kijikakata ko okubalabira.",Which of the following statements is closest to your view? ,Statimenti ki kuzino wamanga eyefananyiliza endowooza yo?,,,,,,${randomdraw5} > 0.5,yes,,"Sorry, this response is required.",,,,,,,,,
select_one agree,elders_q9_2,9.2) Please tell me if you agree or disagree with the following statement:                                                                                                                                                                                                               It is always better to trust the judgement of the elders than to listen to the young people with new ideas. ,9.2) Nsaba ombulire oba okiriziganya oba tokiriziganya ne statimenti eno wamanga:                                                                                                                                                                               Kisingako bulijjo okwesiga ensalawo yabakulu okuleka okuwuliriza abavubuka abato abebirowoozo ebipya.,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_9,,,,,,,,,,,,,,,,,,,,,,
begin group,section_10,,,,,,,,,,,,,,,,,,,,,,
calculate_here,time_10,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
calculate,randomdraw6,,,,,once(random()),,,,,,,,,,,,,,,,,
note,note_10_1,"In some of the villages we have visited, teachers miss many days or weeks of class when they should be teaching. Imagine that you find out that your child’s teacher has been absent for 2 days this week during teaching hours. Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.","Mu byalo ebimu gye tukyadde, abasomesa babulawo e'nnaku nyinji oba wiiki ze'balina okusomesezaamu. Fumitiriza ng’osanze omusomesa w’omwanawo abadde tali ku ssomero okumala ennaku bbiri (2) mu week eno mu'ssaawa ez’okusomesezaamu. Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye wandilonze ko okukola.",,,,,,,,,,,,,,,,,,,,
begin group,gr10.1version1,,,,,,,,,,${randomdraw6} <= 0.25,,,,,,,,,,,,
select_one q10_1new_vers1,fire_teach_q10_1_1,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_1new_2_vers1,fire_teach_q10_1_1_2,10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.1) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_2new_vers1,pta_q10_2_1,10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.2) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_3new_vers1,bring_up_q10_3_1,10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.3) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q10_4new_vers1,assemble_q10_4_1,10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],10.4) ENUMERATOR: Select the choice made by the respondent [READ OUT],Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,Singa wabaaawo eby’okukola bibiri byolina okukola. Bambi tubuulire kiki kye'wandilonzeko okukola.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr10.1version1,,,,,,,,,,,,,,,,,,,,,,
begin group,gr10.1version2,,,,,,,,,,${randomdraw6} > 0.25 and ${randomdraw6} <= 0.50,,,,,,,,,,,,
