type,name,label:english,label:luganda,hint,hint:luganda,calculation,repeat_count,appearance,constraint,constraint message,relevance,required,choice_filter,required message,read only,media:image,media:audio,media:video,default,disabled,note,response_note,publishable
select_one yesno_consent,police_q5_1b,A police officer,Wa poliisi,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,clergy_q5_1b,A religious leader/member of the clergy,Mukuulu w'eddini,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,principal_q5_1b,A school principal,Omukuulu w'esomeero,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,official_q5_1b,A government official,Omukungu wa gavumenti,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,judge_q5_1b,A judge/lawyer,Omulamuzi/munnamateeka,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr5_1_b,,,,,,,,,,,,,,,,,,,,,,
begin group,gr5_1_c,,,,,,,,,,${random_order}=3,,,,,,,,,,,,
note,note_q5_1_c,"5.1) Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","5.1) Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,,,,,,,,,,,,,,
select_one yesno_consent,police_q5_1c,A police officer,Wa poliisi,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,clergy_q5_1c,A religious leader/member of the clergy,Mukuulu w'eddini,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,principal_q5_1c,A school principal,Omukuulu w'esomeero,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,official_q5_1c,A government official,Omukungu wa gavumenti,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,judge_q5_1c,A judge/lawyer,Omulamuzi/munnamateeka,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,doctor_q5_1c,A doctor,Musawo/doctor,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,teacher_q5_1c,A teacher,Omusomesa,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr5_1_c,,,,,,,,,,,,,,,,,,,,,,
begin group,gr5_1_d,,,,,,,,,,${random_order}=4,,,,,,,,,,,,
note,note_q5_1_d,"5.1) Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","5.1) Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,,,,,,,,,,,,,,
select_one yesno_consent,police_q5_1d,A police officer,Wa poliisi,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,clergy_q5_1d,A religious leader/member of the clergy,Mukuulu w'eddini,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,doctor_q5_1d,A doctor,Musawo/doctor,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,teacher_q5_1d,A teacher,Omusomesa,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,principal_q5_1d,A school principal,Omukuulu w'esomeero,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,official_q5_1d,A government official,Omukungu wa gavumenti,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,judge_q5_1d,A judge/lawyer,Omulamuzi/munnamateeka,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr5_1_d,,,,,,,,,,,,,,,,,,,,,,
begin group,gr5_1_e,,,,,,,,,,${random_order}=5,,,,,,,,,,,,
note,note_q5_1_e,"5.1) Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","5.1) Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,,,,,,,,,,,,,,
select_one yesno_consent,principal_q5_1e,A school principal,Omukuulu w'esomeero,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,official_q5_1e,A government official,Omukungu wa gavumenti,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,judge_q5_1e,A judge/lawyer,Omulamuzi/munnamateeka,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,doctor_q5_1e,A doctor,Musawo/doctor,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,teacher_q5_1e,A teacher,Omusomesa,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,police_q5_1e,A police officer,Wa poliisi,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,clergy_q5_1e,A religious leader/member of the clergy,Mukuulu w'eddini,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr5_1_e,,,,,,,,,,,,,,,,,,,,,,
begin group,gr5_1_f,,,,,,,,,,${random_order}=6,,,,,,,,,,,,
note,note_q5_1_f,"5.1) Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","5.1) Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,,,,,,,,,,,,,,
select_one yesno_consent,principal_q5_1f,A school principal,Omukuulu w'esomeero,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,official_q5_1f,A government official,Omukungu wa gavumenti,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,judge_q5_1f,A judge/lawyer,Omulamuzi/munnamateeka,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,police_q5_1f,A police officer,Wa poliisi,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,clergy_q5_1f,A religious leader/member of the clergy,Mukuulu w'eddini,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,doctor_q5_1f,A doctor,Musawo/doctor,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,teacher_q5_1f,A teacher,Omusomesa,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr5_1_f,,,,,,,,,,,,,,,,,,,,,,
end group,section_5,,,,,,,,,,,,,,,,,,,,,,
begin group,section_6,,,,,,,,,,,,,,,,,,,,,,
select_multiple q6_3,goals_q6_2,"6.1) Here is a set of cards, which show different goals for your village. Please choose the three that are the most important to you.",6.1) Wano waliwo bukaadi obulaga ebirubirirwa by'ekyalo kyo eby'enjawulo . Nsaba olondeko bisatu ebisinga obukulu kugwe .,ENUMERATOR: Show the cards to the respondent and make him/her select. Give him/her enough time.,ENUMERATOR: Show the cards to the respondent and make him/her select. Give him/her enough time.,,,,"count-selected(.) =3 or selected(${goals_q6_2}, '999') or selected(${goals_q6_2}, '888')",You have to indicate three choices.,,yes,,"Sorry, this response is required.",,,,,,,,,
note,q6_2err,"ENUMERATOR: Sorry you can not select ""Don’t know"" or ""Refuse to answer"" and anything else.","ENUMERATOR: Sorry you can not select ""Don’t know"" or ""Refuse to answer"" and anything else.",ENUMERATOR: Go back and change your selection.,ENUMERATOR: Go back and change your selection.,,,,,,"(selected(${goals_q6_2}, '999') or selected(${goals_q6_2}, '888')) and count-selected(${goals_q6_2}) >1",yes,,,,,,,,,,,
end group,section_6,,,,,,,,,,,,,,,,,,,,,,
begin group,section_7,,,,,,,,,,,,,,,,,,,,,,
begin group,gr7_1,,,,,,,field-list,,,,,,,,,,,,,,,
note,note7_1,7.1) Do you agree or disagree with the following statements? There is no right or wrong answer. We are simply interested in your views on this issue.,"7.1) Okiriziganya oba tokiriziganya na sitatimenti zino wamanga? Byodamu tewali kitufu oba kikyamu, twagala bwagazi kufuuna ndowozayo ku'nsonga eno.",,,,,,,,,,,,,,,,,,,,
select_one agree,boys_school_q7_1,a) It is more important that a boy  goes to school than a girl,a) Kikola amakuulu okusomesa omulenzi okusinga okusomesa omuwala,Do you agree or disagree with this statement?,Okiriziganya oba tokiriziganya na sitatimenti zino wamanga?,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr7_1,,,,,,,,,,,,,,,,,,,,,,
select_one agree,able_marry_q7_2,"b) Women should be able to marry whomever they want, regardless of their parents’ views",b) Abakyaala balina okuba n'eddembe okufumbirwa omuntu yena gwebagala nga tebafudeyo ku ekyo abazaade kyebagala,Do you agree or disagree with this statement?,Okiriziganya oba tokiriziganya na sitatimenti zino wamanga?,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one agree,final_say_q7_3,c) The father not the mother is the one who should have the final say in the household,c) Taata naye si maama yalina okusalawo okwenkomeredde ku nsonga z'amaaka,Do you agree or disagree with this statement?,Okiriziganya oba tokiriziganya na sitatimenti zino wamanga?,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one agree,child_rearing_q7_4,d) Nowadays men should participate in child rearing and household chores rather than leaving it all to the women,d) Enakuzino Abaami balina okwenyigira mu kukuza abaana n'okuyamba ku milimu gya awaaka okusinga okubilekela abakyaala ,Do you agree or disagree with this statement?,Okiriziganya oba tokiriziganya na sitatimenti zino wamanga?,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_7,,,,,,,,,,,,,,,,,,,,,,
begin group,section_8,,,,,,,,,,,,,,,,,,,,,,
note,note8,"In the next section, I will ask you more questions about your personal views on different issues. There is no right or wrong answer to these questions – We are simply interested in your opinion. Anything you say will be kept strictly confidential.","Mukitundu kino ekidako ngenda kwongera okubuza ebibuzo kundowoza yo nga'omuntu kunsonga ezenjawulo, byodamu tewali kitufu oba kikyamu ku bibuuzo binno.Twagala bwagazi kumanya ndowoza yo. Byona byoddamu bigya kukumibwa nga byakyama.",,,,,,,,,,,,,,,,,,,,
note,note8_1,8.1) Suppose you visit your cousin and she tells you that her husband beat her severely and asks you for help. Suppose there are only two actions that you can take. Please tell us which one you would prefer to take.,"8.1) Fumitiriza okyalidde owoluganda nakugamba nti bbawe yamukuba bubi nnyo, nakusaba obuyambi. Fumitiriza nti waliwo engeri bbiri zokka zosobola okutwala. Bambi tubulire eliwa jewandilozeeko?",,,,,,,,,,,,,,,,,,,,
calculate,randomdraw2,,,,,once(random()),,,,,,,,,,,,,,,,,
begin group,gr8.1version1,,,,,,,,,,${randomdraw2} <= 0.25,,,,,,,,,,,,
select_one q8_1a_vers1,action_q8_1a_1,"8.1a) Which action would you prefer to take? [READ OUT]
",8.1a) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_vers1,action_q8_1b_1,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_2_vers1,action_q8_1b_2_1,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1c_vers1,action_q8_1c_1,"8.1c) Which action would you prefer to take? [READ OUT]
",8.1c) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_vers1,action_q8_1d_1,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 3,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_2_vers1,action_q8_1d_2_1,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=3,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr8.1version1,,,,,,,,,,,,,,,,,,,,,,
begin group,gr8.1version2,,,,,,,,,,${randomdraw2} > 0.25 and ${randomdraw2} <= 0.50,,,,,,,,,,,,
select_one q8_1a_vers2,action_q8_1a_2,"8.1a) Which action would you prefer to take? [READ OUT]
",8.1a) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_vers2,action_q8_1b_2,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_2_vers2,action_q8_1b_2_2,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1c_vers2,action_q8_1c_2,"8.1c) Which action would you prefer to take? [READ OUT]
",8.1c) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_vers2,action_q8_1d_2,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 3,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_2_vers2,action_q8_1d_2_2,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=3,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr8.1version2,,,,,,,,,,,,,,,,,,,,,,
begin group,gr8.1version3,,,,,,,,,,${randomdraw2} > 0.50 and ${randomdraw2} <= 0.75,,,,,,,,,,,,
select_one q8_1a_vers3,action_q8_1a_3,"8.1a) Which action would you prefer to take? [READ OUT]
",8.1a) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_vers3,action_q8_1b_3,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_2_vers3,action_q8_1b_2_3,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1c_vers3,action_q8_1c_3,"8.1c) Which action would you prefer to take? [READ OUT]
",8.1c) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_vers3,action_q8_1d_3,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 3,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_2_vers3,action_q8_1d_2_3,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=3,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr8.1version3,,,,,,,,,,,,,,,,,,,,,,
begin group,gr8.1version4,,,,,,,,,,${randomdraw2} > 0.75,,,,,,,,,,,,
select_one q8_1a_vers4,action_q8_1a_4,"8.1a) Which action would you prefer to take? [READ OUT]
",8.1a) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_vers4,action_q8_1b_4,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1b_2_vers4,action_q8_1b_2_4,"8.1b) Which action would you prefer to take? [READ OUT]
",8.1b) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1c_vers4,action_q8_1c_4,"8.1c) Which action would you prefer to take? [READ OUT]
",8.1c) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_vers4,action_q8_1d_4,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11} != 3,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q8_1d_2_vers4,action_q8_1d_2_4,"8.1d) Which action would you prefer to take? [READ OUT]
",8.1d) Ki ekyokukola kyewandilonzewo? [READ OUT],,,,,,,,${lc1_naba_vht_q2_11}=3,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr8.1version4,,,,,,,,,,,,,,,,,,,,,,
begin group,gr8_2,,,,,,,field-list,,,,,,,,,,,,,,,
note,note8_2,"8.2) In your opinion, does a man have a good reason to hit his wife if…?","8.2) Mundowozayo, omusajja alina ensonga enambulukufu okukuba omukyala we singa….?",,,,,,,,,,,,,,,,,,,,
select_one yesno,disobeys_q8_1a,a) she disobeys him,a) amujemera,"In your opinion, does a man have good reason to hit his wife if...?","Mundowozayo, omusajja alina ensonga enambulukufu okuba omukyala we singa….?",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr8_2,,,,,,,,,,,,,,,,,,,,,,
select_one q8_1a2,disobeys_yes,8.2a_2) Should she be slapped or should more force be used than that?  ,8.2a_2) Aba alina okumukuba oluyi oba okumukubisa amanyi agasingako? ,,,,,,,,${disobeys_q8_1a}=1,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,disobeys_no,8.2a_2) What if she persists in disobeying the husband?  Does he then have good reason to hit her?,"8.2a_2) Atte bwasigala ajemera baawe enfunda eziwera,awo omusajja aba alina esonga enambulukufu okumukuba?",,,,,,,,${disobeys_q8_1a}=2,yes,,"Sorry, this response is required.",,,,,,,,,
calculate,randomdraw3,,,,,once(random()),,,,,,,,,,,,,,,,,
select_one yesno,chat_q8_1b,b) she spends a lot of time chatting with friends in the market,b) amala ebudde bungi ngawayamu ne mikwano mukatale,"In your opinion, does a man have good reason to hit his wife if...?","Mundowozayo, omusajja alina ensonga enambulukufu okuba omukyala we singa….?",,,,,,${randomdraw3} <= 0.33333,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,fin_pressure_q8_1c,b) he is under immense financial pressure and becomes angry when she asks for money to buy food for the family,b) ali mukunyigirizibwa kwebyenfuna era anyiiga bwamusaba ssente z'okugula emmere yawaka,"In your opinion, does a man have good reason to hit his wife if...?","Mundowozayo, omusajja alina ensonga enambulukufu okuba omukyala we singa….?",,,,,,${randomdraw3} > 0.33333 and ${randomdraw3} <= 0.66666,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,no_housework_q8_1e,b) she does not complete her household work to his satisfaction,b) tamaliriza mirimu gye egya’waka mu ngeri ematiza bbawe,"In your opinion, does a man have good reason to hit his wife if...?","Mundowozayo, omusajja alina ensonga enambulukufu okuba omukyala we singa….?",,,,,,${randomdraw3} >  0.66666,yes,,"Sorry, this response is required.",,,,,,,,,
begin group,gr8_3,,,,,,,field-list,,,,,,,,,,,,,,,
note,note8_3,"Now, let’s talk not about your opinion but about the opinion of the people who live nearby. ",Kati katwogere si kundowooza yo naye kundowooza yabantu ababera okumpi.,,,,,,,,,,,,,,,,,,,,
select_one yesno,disobeys_community_q8_2,"8.3) In some of the villages we have visited, people think that a man has good reason to hit his wife if she disobeys him, while people in other communities do not think this is a good reason to hit one’s wife. In your community, do people think a man has a good reason to hit his wife if she disobeys him?","8.3) Mubyalo ebimu byetukyalide, abantu balowooza nti omusajja alina ensonga enambulukufu okukuba omukyala singa amujemera, wabulaabantu mubitundu ebilara balowoza nti eno ensoga tekubya mukyala. Mukitundu kyo, abantu balowoza ntino omusajja alina ensonga enambulukufu ekubya omukyala bwa’mujemera?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr8_3,,,,,,,,,,,,,,,,,,,,,,
select_one yesno,housework_comm_q8_4,"8.4) Thinking of the opinions held by people in your community, do most people think that a man has a good reason to hit his wife if she does not complete her household work to his satisfaction? ","8.4) Ngolowooza ku ndowooza za bantu mu kitundu kyo, abantu abasinga balowooza nti omusajja alina ensonga okukuba mukaziwe bwaba tamalirizza mirimo gye egyawaka okumatiza omwami?",,,,,,,,${randomdraw3} >  0.66666,yes,,"Sorry, this response is required.",,,,,,,,,
